"年月","販売額_百万円","店舗数_店"
"26年計","28869.0","54.0"
"27年計","28366.0","57.0"
"","",""
"27年_1","1906.0","54.0"
"27年_2","1894.0","54.0"
"27年_3","2207.0","54.0"
"27年_4","2477.0","53.0"
"27年_5","2752.0","54.0"
"27年_6","2327.0","54.0"
"27年_7","2469.0","55.0"
"27年_8","2428.0","55.0"
"27年_9","2235.0","55.0"
"27年_10","2417.0","56.0"
"27年_11","2304.0","56.0"
"27年_12","2950.0","57.0"
"28年_1","2034.0","57.0"
"","",""
"対前月増減率(％)","-31.1","0.0"
"対前年同月増減率(％)","6.7","5.6"
