"年月","販売額_百万円","店舗数_店"
"26年計","28869.0","54.0"
"27年計","28366.0","57.0"
"","",""
"27年_2","2207.0","54.0"
"27年_3","2477.0","53.0"
"27年_4","2752.0","54.0"
"27年_5","2327.0","54.0"
"27年_6","2469.0","55.0"
"27年_7","2428.0","55.0"
"27年_8","2235.0","55.0"
"27年_9","2417.0","56.0"
"27年_10","2304.0","56.0"
"27年_11","2950.0","57.0"
"27年_12","2034.0","57.0"
"28年_1","1969.0","57.0"
"28年_2","2278.0","57.0"
"","",""
"対前月増減率(％)","15.7","0.0"
"対前年同月増減率(％)","3.2","5.6"
